id,level,model,ran_ok,correct,model_rows,truth_rows,model_sql,error
L2-08,2,claude-haiku-4.5-zeroshot,True,True,10,10,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich';",
L2-09,2,claude-haiku-4.5-zeroshot,False,False,0,8,"SELECT li.order_id, li.product_id, li.quantity, li.unit_price FROM line_items li JOIN orders o ON li.order_id = o.order_id WHERE o.status = 'cancelled'",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.line_items' doesn't exist
L2-10,2,claude-haiku-4.5-zeroshot,True,True,3,3,"SELECT p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Audio'",
L2-11,2,claude-haiku-4.5-zeroshot,True,True,1,1,"SELECT e.first_name, e.last_name, d.department_name FROM employees e JOIN departments d ON e.department_id = d.department_id WHERE d.department_name = 'Fulfillment'",
L2-12,2,claude-haiku-4.5-zeroshot,True,True,19,19,"SELECT o.order_id, c.first_name, c.last_name, o.status FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.country = 'Germany' AND o.status = 'Completed';",
L2-13,2,claude-haiku-4.5-zeroshot,False,False,0,6,"SELECT product_id, quantity FROM inventory WHERE fulfillment_center = 'Hamburg Fulfillment Center' AND quantity > 100;",EXEC_FAIL: 1054 (42S22): Unknown column 'fulfillment_center' in 'where clause'
L2-14,2,claude-haiku-4.5-zeroshot,False,False,0,6,"SELECT product_name, unit_price FROM order_details JOIN products ON order_details.product_id = products.product_id WHERE order_details.unit_price > 500;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist
L2-15,2,claude-haiku-4.5-zeroshot,True,True,3,3,"SELECT p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Fitness Equipment';",
L3-01,3,claude-haiku-4.5-zeroshot,True,True,4,4,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count FROM departments d LEFT JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_id, d.department_name ORDER BY d.department_name;",
L3-02,3,claude-haiku-4.5-zeroshot,False,False,0,5,"SELECT p.product_name, SUM(od.quantity) AS total_sold FROM products p JOIN order_details od ON p.product_id = od.product_id GROUP BY p.product_id, p.product_name ORDER BY total_sold DESC LIMIT 5;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist
L3-03,3,claude-haiku-4.5-zeroshot,True,True,2,2,"SELECT YEAR(order_date) AS order_year, COUNT(*) AS order_count FROM orders GROUP BY YEAR(order_date) ORDER BY order_year;",
L3-04,3,claude-haiku-4.5-zeroshot,False,False,0,1,SELECT COUNT(DISTINCT customer_id) AS laptop_customers FROM orders WHERE product_type = 'laptop' OR product_id IN (SELECT product_id FROM products WHERE category = 'laptop');,EXEC_FAIL: 1054 (42S22): Unknown column 'product_type' in 'where clause'
L3-05,3,claude-haiku-4.5-zeroshot,False,False,0,8,"SELECT p.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM order_items oi JOIN products p ON oi.product_id = p.product_id GROUP BY p.category_name;",EXEC_FAIL: 1054 (42S22): Unknown column 'p.category_name' in 'field list'
L3-06,3,claude-haiku-4.5-zeroshot,True,False,18,14,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.first_name, c.last_name;",
L3-07,3,claude-haiku-4.5-zeroshot,False,False,0,3,"SELECT e.first_name, e.last_name, COUNT(o.order_id) AS orders_handled FROM employees e LEFT JOIN orders o ON e.employee_id = o.employee_id GROUP BY e.employee_id, e.first_name, e.last_name ORDER BY e.employee_id;",EXEC_FAIL: 1054 (42S22): Unknown column 'o.employee_id' in 'on clause'
L3-08,3,claude-haiku-4.5-zeroshot,True,True,3,3,"SELECT w.warehouse_name, SUM(i.quantity) AS total_stock FROM warehouses w LEFT JOIN inventory i ON w.warehouse_id = i.warehouse_id GROUP BY w.warehouse_id, w.warehouse_name ORDER BY w.warehouse_name;",
L3-09,3,claude-haiku-4.5-zeroshot,True,True,8,8,"SELECT c.category_name, AVG(p.price) AS avg_price FROM products p JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_id, c.category_name;",
L3-10,3,claude-haiku-4.5-zeroshot,True,True,11,11,"SELECT c.category_name, COUNT(p.product_id) AS product_count FROM categories c LEFT JOIN products p ON c.category_id = p.category_id GROUP BY c.category_id, c.category_name ORDER BY c.category_name;",
L3-11,3,claude-haiku-4.5-zeroshot,True,True,5,5,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name HAVING COUNT(o.order_id) > 3 ORDER BY order_count DESC;",
L3-12,3,claude-haiku-4.5-zeroshot,True,True,4,4,"SELECT category_name, SUM(price * quantity) as revenue FROM order_items JOIN products ON order_items.product_id = products.product_id JOIN categories ON products.category_id = categories.category_id GROUP BY category_name HAVING SUM(price * quantity) > 5000 ORDER BY revenue DESC;",
L3-13,3,claude-haiku-4.5-zeroshot,True,True,4,4,"SELECT status, COUNT(*) as order_count FROM orders GROUP BY status;",
L3-14,3,claude-haiku-4.5-zeroshot,False,False,0,5,"SELECT p.product_name, SUM(s.quantity) as total_units FROM products p JOIN stock s ON p.product_id = s.product_id GROUP BY p.product_id, p.product_name ORDER BY total_units DESC LIMIT 5;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.stock' doesn't exist
L3-15,3,claude-haiku-4.5-zeroshot,True,True,8,8,"SELECT c.category_name, AVG(o.unit_price) as avg_sold_price FROM order_items o JOIN products p ON o.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_name;",
L4-01,4,claude-haiku-4.5-zeroshot,False,False,0,3,"SELECT e.first_name, e.last_name, SUM(s.quantity * p.price) AS smartphone_sales FROM employees e JOIN sales s ON e.employee_id = s.employee_id JOIN products p ON s.product_id = p.product_id WHERE p.category = 'Smartphones' GROUP BY e.employee_id, e.first_name, e.last_name ORDER BY smartphone_sales DESC LIMIT 1;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.sales' doesn't exist
L4-02,4,claude-haiku-4.5-zeroshot,False,False,0,6,"SELECT c.customer_id, c.first_name, c.last_name, SUM(o.total_amount) as total_spent FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name HAVING SUM(o.total_amount) > (SELECT AVG(customer_total) FROM (SELECT SUM(o2.total_amount) as customer_total FROM orders o2 GROUP BY o2.customer_id) as avg_table) ORDER BY total_spent DESC;",EXEC_FAIL: 1054 (42S22): Unknown column 'o.total_amount' in 'field list'
L4-03,4,claude-haiku-4.5-zeroshot,True,True,8,8,"SELECT product_name, price FROM products WHERE price > (SELECT AVG(price) FROM products)",
L4-04,4,claude-haiku-4.5-zeroshot,True,True,22,22,"SELECT product_name, price, RANK() OVER (ORDER BY price DESC) as price_rank FROM products;",
L4-05,4,claude-haiku-4.5-zeroshot,True,True,2,2,SELECT p.product_name FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id WHERE oi.product_id IS NULL;,
L4-06,4,claude-haiku-4.5-zeroshot,True,True,8,8,"SELECT p.product_name, p.price, c.category_name FROM products p INNER JOIN categories c ON p.category_id = c.category_id WHERE (p.category_id, p.price) IN (SELECT category_id, MAX(price) FROM products GROUP BY category_id);",
L4-07,4,claude-haiku-4.5-zeroshot,False,False,0,14,"SELECT c.first_name, c.last_name, SUM(o.total_amount) as total_spent, RANK() OVER (ORDER BY SUM(o.total_amount) DESC) as spend_rank FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY spend_rank;",EXEC_FAIL: 1054 (42S22): Unknown column 'o.total_amount' in 'field list'
L4-08,4,claude-haiku-4.5-zeroshot,False,False,0,16,"SELECT order_id, order_value FROM orders WHERE order_value > (SELECT AVG(order_value) FROM orders)",EXEC_FAIL: 1054 (42S22): Unknown column 'order_value' in 'field list'
L4-09,4,claude-haiku-4.5-zeroshot,True,False,0,5,"SELECT DISTINCT c.first_name, c.last_name
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
JOIN order_items oi ON o.order_id = oi.order_id
JOIN products p ON oi.product_id = p.product_id
JOIN inventory i ON p.product_id = i.product_id
JOIN warehouses w ON i.warehouse_id = w.warehouse_id
WHERE p.product_name LIKE '%laptop%'
AND w.warehouse_name = 'Berlin'",
L4-10,4,claude-haiku-4.5-zeroshot,False,False,0,19,"SELECT c.first_name, c.last_name, p.product_name, od.quantity, od.unit_price, (od.quantity * od.unit_price) AS line_total FROM customers c JOIN orders o ON c.customer_id = o.customer_id JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id WHERE c.customer_id = (SELECT c2.customer_id FROM customers c2 JOIN orders o2 ON c2.customer_id = o2.customer_id JOIN order_details od2 ON o2.order_id = od2.order_id GROUP BY c2.customer_id ORDER BY SUM(od2.quantity * od2.unit_price) DESC LIMIT 1) ORDER BY line_total DESC;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist
