id,level,model,ran_ok,correct,model_rows,truth_rows,question,ground_truth_sql,model_sql,error,suggested_category,category,review_note
L4-07,4,claude-haiku-4.5,True,False,18,14,Rank customers by total spend.,"SELECT c.first_name, c.last_name, SUM(oi.quantity * oi.unit_price) AS total_spent, RANK() OVER (ORDER BY SUM(oi.quantity * oi.unit_price) DESC) AS spend_rank FROM customers c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id GROUP BY c.customer_id, c.first_name, c.last_name;","SELECT 
    c.first_name,
    c.last_name,
    SUM(oi.quantity * oi.unit_price) AS total_spent,
    RANK() OVER (ORDER BY SUM(oi.quantity * oi.unit_price) DESC) AS spend_rank
FROM customers c
LEFT JOIN orders o ON c.customer_id = o.customer_id
LEFT JOIN order_items oi ON o.order_id = oi.order_id
GROUP BY c.customer_id, c.first_name, c.last_name
ORDER BY spend_rank;",,wrong_join_path,wrong_join_path,Same LEFT-vs-INNER-JOIN pattern as other L4-07 rows.
L2-04,2,claude-haiku-4.5-zeroshot,False,False,0,12,Which orders were handled by Julia Becker?,"SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.handled_by = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';","SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.employee_id = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';",EXEC_FAIL: 1054 (42S22): Unknown column 'o.employee_id' in 'on clause',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-05,2,claude-haiku-4.5-zeroshot,False,False,0,15,What stock quantities are held in the Munich Regional Warehouse?,"SELECT i.product_id, i.quantity FROM inventory i JOIN warehouses w ON i.warehouse_id = w.warehouse_id WHERE w.warehouse_name = 'Munich Regional Warehouse';","SELECT product_id, quantity FROM inventory WHERE warehouse_name = 'Munich Regional Warehouse';",EXEC_FAIL: 1054 (42S22): Unknown column 'warehouse_name' in 'where clause',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-06,2,claude-haiku-4.5-zeroshot,False,False,0,24,Which product lines had a quantity greater than 2?,"SELECT p.product_name, oi.quantity FROM order_items oi JOIN products p ON oi.product_id = p.product_id WHERE oi.quantity > 2;","SELECT product_name, quantity FROM products WHERE quantity > 2;",EXEC_FAIL: 1054 (42S22): Unknown column 'quantity' in 'field list',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-07,2,claude-haiku-4.5-zeroshot,False,False,0,3,Which products have a stock record below 30 units?,"SELECT p.product_name, i.quantity FROM inventory i JOIN products p ON i.product_id = p.product_id WHERE i.quantity < 30;","SELECT product_name, quantity FROM products WHERE quantity < 30;",EXEC_FAIL: 1054 (42S22): Unknown column 'quantity' in 'field list',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-09,2,claude-haiku-4.5-zeroshot,False,False,0,8,What are the line items for all cancelled orders?,"SELECT o.order_id, oi.product_id, oi.quantity, oi.unit_price FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.status = 'cancelled';","SELECT li.order_id, li.product_id, li.quantity, li.unit_price FROM line_items li JOIN orders o ON li.order_id = o.order_id WHERE o.status = 'cancelled'",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.line_items' doesn't exist,hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-13,2,claude-haiku-4.5-zeroshot,False,False,0,6,Which inventory records in the Hamburg Fulfillment Center hold more than 100 units?,"SELECT i.product_id, i.quantity FROM inventory i JOIN warehouses w ON i.warehouse_id = w.warehouse_id WHERE w.warehouse_name = 'Hamburg Fulfillment Center' AND i.quantity > 100;","SELECT product_id, quantity FROM inventory WHERE fulfillment_center = 'Hamburg Fulfillment Center' AND quantity > 100;",EXEC_FAIL: 1054 (42S22): Unknown column 'fulfillment_center' in 'where clause',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L2-14,2,claude-haiku-4.5-zeroshot,False,False,0,6,Which products were sold at a unit price above 500 euros?,"SELECT DISTINCT p.product_name, oi.unit_price FROM order_items oi JOIN products p ON oi.product_id = p.product_id WHERE oi.unit_price > 500;","SELECT product_name, unit_price FROM order_details JOIN products ON order_details.product_id = products.product_id WHERE order_details.unit_price > 500;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist,hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L3-02,3,claude-haiku-4.5-zeroshot,False,False,0,5,What are the top 5 products by total units sold?,"SELECT p.product_name, SUM(oi.quantity) AS total_sold FROM order_items oi JOIN products p ON oi.product_id = p.product_id GROUP BY p.product_name ORDER BY total_sold DESC LIMIT 5;","SELECT p.product_name, SUM(od.quantity) AS total_sold FROM products p JOIN order_details od ON p.product_id = od.product_id GROUP BY p.product_id, p.product_name ORDER BY total_sold DESC LIMIT 5;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist,hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L3-04,3,claude-haiku-4.5-zeroshot,False,False,0,1,How many distinct customers have ordered laptops?,SELECT COUNT(DISTINCT o.customer_id) AS laptop_customers FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN products p ON oi.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Laptops';,SELECT COUNT(DISTINCT customer_id) AS laptop_customers FROM orders WHERE product_type = 'laptop' OR product_id IN (SELECT product_id FROM products WHERE category = 'laptop');,EXEC_FAIL: 1054 (42S22): Unknown column 'product_type' in 'where clause',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L3-05,3,claude-haiku-4.5-zeroshot,False,False,0,8,What is the total revenue per product category?,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM order_items oi JOIN products p ON oi.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_name ORDER BY revenue DESC;","SELECT p.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM order_items oi JOIN products p ON oi.product_id = p.product_id GROUP BY p.category_name;",EXEC_FAIL: 1054 (42S22): Unknown column 'p.category_name' in 'field list',hallucinated_schema,hallucinated_schema,"Execution error -- model referenced a nonexistent table/column. Mechanical category, no judgment call needed."
L3-06,3,claude-haiku-4.5-zeroshot,True,False,18,14,How many orders has each customer placed?,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY order_count DESC;","SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.first_name, c.last_name;",,wrong_join_path,wrong_join_path,Same LEFT-vs-INNER-JOIN pattern.
