id,level,model,ran_ok,correct,model_rows,truth_rows,model_sql,error
L2-04,2,gemini-3.5-flash-lite-zeroshot,False,False,0,12,"SELECT o.order_id, o.order_date, o.status 
FROM orders o 
JOIN employees e ON o.employee_id = e.employee_id 
WHERE e.first_name = 'Julia' AND e.last_name = 'Becker'",EXEC_FAIL: 1054 (42S22): Unknown column 'o.employee_id' in 'on clause'
L2-05,2,gemini-3.5-flash-lite-zeroshot,False,False,0,15,"SELECT i.product_id, i.quantity
FROM inventories i
JOIN warehouses w ON i.warehouse_id = w.warehouse_id
WHERE w.warehouse_name = 'Munich Regional Warehouse';",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.inventories' doesn't exist
L2-06,2,gemini-3.5-flash-lite-zeroshot,False,False,0,24,"SELECT product_name, quantity FROM products WHERE quantity > 2;",EXEC_FAIL: 1054 (42S22): Unknown column 'quantity' in 'field list'
L2-07,2,gemini-3.5-flash-lite-zeroshot,False,False,0,3,"SELECT p.product_name, s.quantity 
FROM products p 
JOIN stock s ON p.product_id = s.product_id 
WHERE s.quantity < 30",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.stock' doesn't exist
L2-08,2,gemini-3.5-flash-lite-zeroshot,True,True,10,10,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'",
L2-09,2,gemini-3.5-flash-lite-zeroshot,False,False,0,8,"SELECT li.order_id, li.product_id, li.quantity, li.unit_price FROM line_items li JOIN orders o ON li.order_id = o.order_id WHERE o.status = 'cancelled'",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.line_items' doesn't exist
L2-10,2,gemini-3.5-flash-lite-zeroshot,False,False,0,3,"SELECT p.product_name, c.category_name 
FROM products p 
JOIN categories c ON p.category_id = c.id 
WHERE c.category_name = 'Audio';",EXEC_FAIL: 1054 (42S22): Unknown column 'c.id' in 'on clause'
L2-11,2,gemini-3.5-flash-lite-zeroshot,True,True,1,1,"SELECT e.first_name, e.last_name, d.department_name
FROM employees e
JOIN departments d ON e.department_id = d.department_id
WHERE d.department_name = 'Fulfillment';",
L2-12,2,gemini-3.5-flash-lite-zeroshot,True,True,19,19,"SELECT o.order_id, c.first_name, c.last_name, o.status FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE o.status = 'completed' AND c.country = 'Germany';",
L2-13,2,gemini-3.5-flash-lite-zeroshot,False,False,0,6,"SELECT product_id, quantity 
FROM inventory 
WHERE fulfillment_center = 'Hamburg' 
  AND quantity > 100;",EXEC_FAIL: 1054 (42S22): Unknown column 'fulfillment_center' in 'where clause'
L2-14,2,gemini-3.5-flash-lite-zeroshot,False,False,0,6,"SELECT DISTINCT p.product_name, o.unit_price FROM products p JOIN order_details o ON p.product_id = o.product_id WHERE o.unit_price > 500",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.order_details' doesn't exist
L2-15,2,gemini-3.5-flash-lite-zeroshot,True,True,3,3,"SELECT p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Fitness Equipment'",
L3-01,3,gemini-3.5-flash-lite-zeroshot,True,True,4,4,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count FROM departments d LEFT JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_id, d.department_name;",
L3-02,3,gemini-3.5-flash-lite-zeroshot,True,True,5,5,"SELECT p.product_name, SUM(o.quantity) AS total_sold
FROM products p
JOIN order_items o ON p.product_id = o.product_id
GROUP BY p.product_id, p.product_name
ORDER BY total_sold DESC
LIMIT 5;",
L3-03,3,gemini-3.5-flash-lite-zeroshot,True,True,2,2,"SELECT YEAR(order_date) AS order_year, COUNT(*) AS order_count FROM orders GROUP BY YEAR(order_date);",
L3-04,3,gemini-3.5-flash-lite-zeroshot,False,False,0,1,"SELECT COUNT(DISTINCT c.customer_id) AS laptop_customers
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
JOIN order_items oi ON o.order_id = oi.order_id
JOIN products p ON oi.product_id = p.product_id
WHERE p.category = 'Laptops'",EXEC_FAIL: 1054 (42S22): Unknown column 'p.category' in 'where clause'
L3-05,3,gemini-3.5-flash-lite-zeroshot,True,True,8,8,"SELECT 
    c.category_name, 
    SUM(oi.quantity * oi.unit_price) AS revenue
FROM 
    categories c
JOIN 
    products p ON c.category_id = p.category_id
JOIN 
    order_items oi ON p.product_id = oi.product_id
GROUP BY 
    c.category_name;",
L3-06,3,gemini-3.5-flash-lite-zeroshot,False,False,0,14,"SELECT c.first_name, c.last_name, COUNT(o.id) AS order_count FROM customers c LEFT JOIN orders o ON c.id = o.customer_id GROUP BY c.id, c.first_name, c.last_name",EXEC_FAIL: 1054 (42S22): Unknown column 'o.id' in 'field list'
L3-07,3,gemini-3.5-flash-lite-zeroshot,False,False,0,3,"SELECT e.first_name, e.last_name, COUNT(o.order_id) AS orders_handled
FROM employees e
LEFT JOIN orders o ON e.employee_id = o.employee_id
GROUP BY e.employee_id, e.first_name, e.last_name",EXEC_FAIL: 1054 (42S22): Unknown column 'o.employee_id' in 'on clause'
L3-08,3,gemini-3.5-flash-lite-zeroshot,True,True,3,3,"SELECT w.warehouse_name, SUM(i.quantity) AS total_stock
FROM warehouses w
JOIN inventory i ON w.warehouse_id = i.warehouse_id
GROUP BY w.warehouse_id, w.warehouse_name;",
L3-09,3,gemini-3.5-flash-lite-zeroshot,True,True,8,8,"SELECT c.category_name, AVG(p.price) AS avg_price
FROM categories c
JOIN products p ON c.category_id = p.category_id
GROUP BY c.category_id, c.category_name",
L3-10,3,gemini-3.5-flash-lite-zeroshot,True,True,11,11,"SELECT c.category_name, COUNT(p.product_id) AS product_count FROM categories c LEFT JOIN products p ON c.category_id = p.category_id GROUP BY c.category_id, c.category_name",
L3-11,3,gemini-3.5-flash-lite-zeroshot,False,False,0,5,"SELECT c.first_name, c.last_name, COUNT(o.id) AS order_count
FROM customers c
JOIN orders o ON c.id = o.customer_id
GROUP BY c.id, c.first_name, c.last_name
HAVING COUNT(o.id) > 3;",EXEC_FAIL: 1054 (42S22): Unknown column 'o.id' in 'field list'
L3-12,3,gemini-3.5-flash-lite-zeroshot,False,False,0,4,"SELECT c.name AS category_name, SUM(p.price * s.quantity) AS revenue
FROM categories c
JOIN products p ON c.id = p.category_id
JOIN sales s ON p.id = s.product_id
GROUP BY c.id, c.name
HAVING SUM(p.price * s.quantity) > 5000;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.sales' doesn't exist
L3-13,3,gemini-3.5-flash-lite-zeroshot,True,True,4,4,"SELECT status, COUNT(*) AS order_count FROM orders GROUP BY status;",
L3-14,3,gemini-3.5-flash-lite-zeroshot,False,False,0,5,"SELECT product_name, units_in_stock AS total_units FROM products ORDER BY units_in_stock DESC LIMIT 5",EXEC_FAIL: 1054 (42S22): Unknown column 'units_in_stock' in 'field list'
L3-15,3,gemini-3.5-flash-lite-zeroshot,True,True,8,8,"SELECT c.category_name, AVG(oi.unit_price) AS avg_sold_price
FROM categories c
JOIN products p ON c.category_id = p.category_id
JOIN order_items oi ON p.product_id = oi.product_id
GROUP BY c.category_id, c.category_name;",
L4-01,4,gemini-3.5-flash-lite-zeroshot,False,False,0,3,"SELECT e.first_name, e.last_name, SUM(s.quantity * s.unit_price) AS smartphone_sales
FROM employees e
JOIN sales s ON e.employee_id = s.employee_id
JOIN products p ON s.product_id = p.product_id
WHERE p.category = 'Smartphone'
GROUP BY e.employee_id, e.first_name, e.last_name
ORDER BY smartphone_sales DESC
LIMIT 1;",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.sales' doesn't exist
L4-02,4,gemini-3.5-flash-lite-zeroshot,False,False,0,6,"SELECT 
    c.customer_id, 
    c.first_name, 
    c.last_name, 
    SUM(p.amount) AS total_spent
FROM 
    customer c
JOIN 
    payment p ON c.customer_id = p.customer_id
GROUP BY 
    c.customer_id, 
    c.first_name, 
    c.last_name
HAVING 
    SUM(p.amount) > (
        SELECT AVG(customer_total)
        FROM (
            SELECT SUM(amount) AS customer_total
            FROM payment
            GROUP BY customer_id
        ) AS avg_spent
    )",EXEC_FAIL: 1146 (42S02): Table 'thesis_nl2sql.customer' doesn't exist
L4-03,4,gemini-3.5-flash-lite-zeroshot,True,True,8,8,"SELECT product_name, price 
FROM products 
WHERE price > (SELECT AVG(price) FROM products);",
L4-04,4,gemini-3.5-flash-lite-zeroshot,True,False,22,22,"SELECT product_name, price, DENSE_RANK() OVER (ORDER BY price DESC) as price_rank FROM products",
L4-05,4,gemini-3.5-flash-lite-zeroshot,True,True,2,2,SELECT p.product_name FROM products p LEFT JOIN order_items o ON p.product_id = o.product_id WHERE o.product_id IS NULL,
L4-06,4,gemini-3.5-flash-lite-zeroshot,False,False,0,8,"SELECT p.product_name, p.price, c.category_name
FROM products p
JOIN categories c ON p.category_id = c.id
JOIN (
    SELECT category_id, MAX(price) AS max_price
    FROM products
    GROUP BY category_id
) m ON p.category_id = m.category_id AND p.price = m.max_price",EXEC_FAIL: 1054 (42S22): Unknown column 'c.id' in 'on clause'
L4-07,4,gemini-3.5-flash-lite-zeroshot,False,False,0,14,"SELECT 
    c.first_name, 
    c.last_name, 
    SUM(o.total_amount) AS total_spent,
    RANK() OVER (ORDER BY SUM(o.total_amount) DESC) AS spend_rank
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
GROUP BY c.customer_id, c.first_name, c.last_name;",EXEC_FAIL: 1054 (42S22): Unknown column 'o.total_amount' in 'field list'
L4-08,4,gemini-3.5-flash-lite-zeroshot,False,False,0,16,"SELECT order_id, order_value FROM orders WHERE order_value > (SELECT AVG(order_value) FROM orders)",EXEC_FAIL: 1054 (42S22): Unknown column 'order_value' in 'field list'
L4-09,4,gemini-3.5-flash-lite-zeroshot,True,False,0,5,"SELECT DISTINCT c.first_name, c.last_name
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
JOIN order_items oi ON o.order_id = oi.order_id
JOIN products p ON oi.product_id = p.product_id
JOIN inventory i ON p.product_id = i.product_id
JOIN warehouses w ON i.warehouse_id = w.warehouse_id
WHERE p.product_name LIKE '%laptop%' AND w.city = 'Berlin';",
L4-10,4,gemini-3.5-flash-lite-zeroshot,True,True,19,19,"SELECT c.first_name, c.last_name, p.product_name, oi.quantity, oi.unit_price, (oi.quantity * oi.unit_price) AS line_total
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
JOIN order_items oi ON o.order_id = oi.order_id
JOIN products p ON oi.product_id = p.product_id
WHERE c.customer_id = (
    SELECT c2.customer_id
    FROM customers c2
    JOIN orders o2 ON c2.customer_id = o2.customer_id
    JOIN order_items oi2 ON o2.order_id = oi2.order_id
    GROUP BY c2.customer_id
    ORDER BY SUM(oi2.quantity * oi2.unit_price) DESC
    LIMIT 1
);",
